Заголовок;Производитель;Тип автомата;Количество линий;Количество барабанов;Мин ставка на линию;Макс ставка на линию;Джектпот;Процент отдачи;Бонусная игра;Прогрессивный джекпот;Символ Wild;Символ Scatter;Автоматическая игра;Мультиплеер;Бесплатные спины
Isle O' Plenty Slot;IGT (WagerWorks);Прогрессивные слоты;40;5;1;1;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;no;yes
The Three Stooges;Real Time Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Rudolph's Revenge Slot;Real Time Gaming;Прогрессивные слоты;50;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Musketeer Slot;iSoftBet;Видео-слоты;20;5;1;5;10;Неизвестно;no;no;yes;yes;yes;yes;yes
Kingdom of the Titans;WMS (Williams Interactive);Видео-слоты;30;5;1;1;500;92.02%;yes;no;yes;yes;yes;yes;yes
Magic Show;NuWorks;Прогрессивные слоты;25;5;1;1;Прогрессивный;Неизвестно;yes;yes;yes;yes;yes;yes;yes
Reel'em In - Big Bass Bucks;WMS (Williams Interactive);Видео-слоты;20;5;1;1;10000;92.46%;yes;no;yes;yes;yes;no;no
Crown Gems - Hi Roller Slot;Barcrest Games;Видео-слоты;50;5;1;1;5000;96.08%;no;no;no;no;yes;no;no
Queen of the Seas Slot;GameArt;Видео-слоты;720;5;0;0;90;Неизвестно;no;no;yes;yes;yes;yes;yes
Merry Bells;Pragmatic Play;Видео-слоты;25;5;1;1;10000;Неизвестно;yes;yes;yes;yes;yes;yes;yes
Lobstermania 2;IGT (WagerWorks);Видео-слоты;40;5;1;1;8000;96.52%;yes;no;yes;yes;yes;yes;yes
As the Reels Turn 1: With Friends Like You;Rival;Видео-слоты;15;5;1;5;1000;95%;yes;no;no;yes;yes;yes;yes
Horn Of Plenty Slot;Saucify (BetOnSoft);Видео-слоты;50;5;1;5;4000;Неизвестно;no;no;yes;yes;yes;yes;yes
Cosmic Quest II Mystery Planets;Rival;Видео-слоты;20;5;1;10;5000;98%;yes;no;yes;yes;yes;yes;yes
Book of Egypt;нетvomatic;Видео-слоты;9;5;1;1;5000;Неизвестно;no;no;yes;yes;yes;yes;yes
Hockey Hero;Real Time Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Haunted Opera;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Slotomoji Slot;Endorphina;Видео-слоты;10;5;1;0;1000;Неизвестно;no;no;yes;no;yes;no;yes
Diнетsaur Adventure;Genesis Gaming;Видео-слоты;1024;5;1;1;800;97.2%;no;no;yes;yes;yes;yes;yes
Six Shot Showdown Slot;Genesis Gaming;Видео-слоты;243;5;1;1;1000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Star Crystals Slot;Genesis Gaming;Видео-слоты;243;5;1;1;1000;95.38%;yes;no;yes;yes;yes;yes;yes
Clash of Queens Slot;Genesis Gaming;Видео-слоты;25;5;1;1;750;95.57%;yes;no;yes;yes;yes;yes;yes
Queen of Atlantis Slot;Pragmatic Play;Видео-слоты;1024;5;1;10;100;96.4%;no;no;yes;yes;yes;yes;yes
Jeopardy!;IGT (WagerWorks);Видео-слоты;40;5;1;1;2000;96.4%;no;no;yes;yes;yes;yes;yes
Super Hoot Loot;IGT (WagerWorks);Видео-слоты;40;5;1;1;2000;94.56%;no;no;yes;yes;no;yes;yes
Castle Blood Slot;GameArt;Видео-слоты;25;5;1;0;2;Неизвестно;no;no;yes;yes;yes;no;yes
Desert Dreams;Amaya (Chartwell);Видео-слоты;20;5;1;1;4000;94.5%;no;no;yes;yes;yes;no;yes
Hole in One;Amaya (Chartwell);Видео-слоты;9;5;1;5;2500;93.5%;yes;no;yes;yes;yes;yes;no
Wonder Wings Blue Dash;Aristocrat;Видео-слоты;243;5;0;0;0;Неизвестно;no;no;Неизвестно;yes;Неизвестно;yes;yes
Star Trek Against All Odds;IGT (WagerWorks);Видео-слоты;720;5;1;1;1000;95%;yes;no;yes;yes;yes;yes;no
Triple Diamond Slots;IGT (WagerWorks);Классические слоты;9;3;1;1;1199;95.06%;no;yes;yes;no;yes;yes;no
Secret Agent;SkillOnNet;Видео-слоты;20;5;1;1;8000;95.5%;yes;no;yes;yes;yes;yes;yes
Lost Inca's Gold;Pragmatic Play;Видео-слоты;25;5;1;1;8000;Неизвестно;yes;no;yes;yes;yes;no;yes
Happy Jungle Slot;Playson;Видео-слоты;20;5;1;1;5000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Bucaneros;MGA;Видео-слоты;1;3;0;0;500;Неизвестно;yes;no;yes;no;yes;yes;no
Neon Reels Slot;iSoftBet;Прогрессивные слоты;25;5;1;10;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;yes;yes
RF Neopolis;NextGen Gaming;Видео-слоты;25;5;1;1;3000;95.937;no;no;yes;yes;yes;yes;yes
Rapunzel's Tower Slot;Quickspin;Видео-слоты;20;5;1;0;7;96.25%;no;no;yes;yes;yes;yes;yes
Ugga Bugga Slot;Playtech;Классические слоты;1;3;1;5;1000;99.07%;no;no;yes;no;yes;no;no
Wheel of Chance;WGS Techнетlogy (Vegas Techнетlogy);Классические слоты;1;3;1;3;800;Неизвестно;yes;no;yes;yes;yes;no;Неизвестно
Wall St. Fever;Playtech;Прогрессивные слоты;5;5;1;1;Прогрессивный;97%;yes;yes;yes;yes;yes;no;yes
SpellCraft Slot;Playson;Видео-слоты;27;5;1;1;600;96.4%;yes;no;yes;yes;yes;yes;yes
Tropic Reels Slot;Playtech;Классические слоты;1;3;1;5;2500;94.9%;no;no;yes;no;no;no;no
Trolling for Treasure;Parlay;Видео-слоты;9;5;1;1;10000;96%;yes;no;yes;yes;no;no;no
Shamrockers Eire To Rock;IGT (WagerWorks);Видео-слоты;20;5;1;1;500;Неизвестно;no;no;yes;yes;yes;no;yes
Tres Amigos;Playtech;Классические слоты;1;3;1;2;2500;97%;no;no;no;no;yes;no;no
Ambiance Slot;iSoftBet;Видео-слоты;20;5;1;1;50;Неизвестно;no;no;yes;yes;yes;no;yes
Emperors China;нетvomatic;Видео-слоты;9;5;1;1;9000;Неизвестно;no;no;yes;yes;yes;yes;yes
White Buffalo Slot;Cadillac Jack;Видео-слоты;20;5;1;1;400;Неизвестно;no;no;yes;yes;yes;yes;yes
iFiesta Cubana!;NextGen Gaming;Видео-слоты;243;5;0;0;100;95.27%;no;no;yes;yes;yes;no;yes
Secrets of Alchemy Slot;EGT Interactive;Видео-слоты;40;5;1;20;20000;95.81%;no;no;yes;yes;yes;yes;no
Sign of Luck;Viaden Gaming;Видео-слоты;9;5;1;1;10000;Неизвестно;no;no;no;yes;yes;yes;yes
Cirque du Soleil Kooza;Bally;Видео-слоты;40;5;0;0;2;96.4%;no;no;yes;yes;yes;no;yes
Mystic Monkeys Slot;Genesis Gaming;Видео-слоты;50;5;1;1;500;97.063%;no;no;yes;yes;yes;no;yes
From China With Love;Future Gaming Solutions;Прогрессивные слоты;40;5;1;10;Прогрессивный;96.6%;no;yes;yes;yes;yes;no;yes
Grand Sumo;Future Gaming Solutions;Прогрессивные слоты;720;5;0;0;Прогрессивный;96.1%;no;yes;yes;yes;yes;yes;yes
Surf Paradise;Rival;Классические слоты;1;3;1;2;2000;96%;no;no;no;no;yes;no;no
Dolphin King;Amaya (Chartwell);Прогрессивные слоты;9;5;1;1;Прогрессивный;94.5%;no;yes;yes;yes;yes;yes;yes
Super Star;PartyGaming;Прогрессивные слоты;9;5;1;1;Прогрессивный;96%;yes;yes;yes;yes;yes;no;yes
Wish Upon A Jackpot Slot;Blueprint Gaming;Видео-слоты;20;5;1;1;500;95%;yes;no;yes;yes;yes;yes;yes
The Big Bopper Slot;Real Time Gaming;Видео-слоты;729;6;0;0;6000;Неизвестно;no;no;yes;yes;yes;yes;yes
Hollywood Reels;Amaya (Chartwell);Видео-слоты;9;5;1;5;2500;91.5%;yes;no;yes;yes;yes;yes;no
Zeus;Habanero;Прогрессивные слоты;25;5;1;10;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;no;yes
Soccer Challenge;GTS;Прогрессивные слоты;20;5;1;1;10000;Неизвестно;no;yes;yes;yes;yes;no;no
Green Lantern Slot;NextGen Gaming;Видео-слоты;50;5;1;1;10000;95.34%;yes;no;yes;yes;yes;yes;yes
Tarot Treasures;Nyx Interactive;Прогрессивные слоты;20;5;1;10;Прогрессивный;Неизвестно;yes;yes;yes;yes;yes;yes;yes
Happy Circus;Pragmatic Play;Видео-слоты;25;5;1;1;8000;Неизвестно;yes;no;yes;yes;yes;no;yes
Magic Money;нетvomatic;Видео-слоты;9;5;1;1;5000;Неизвестно;no;no;yes;yes;yes;yes;yes
Hercules Slot;World Match;Видео-слоты;20;5;1;0;1000;Неизвестно;yes;no;yes;yes;yes;yes;yes
The Angler Slot;Betsoft;Видео-слоты;20;5;1;5;350;Неизвестно;no;no;yes;yes;yes;no;yes
Dungeons and Dragons: Crystal Caverns Slot;IGT (WagerWorks);Видео-слоты;20;5;1;1;5000;94.4%;no;no;yes;yes;yes;no;yes
Royal Reels Slot;Betsoft;Видео-слоты;30;5;1;5;300;95.5%;yes;no;yes;yes;yes;yes;no
Legend of Loki Slot;iSoftBet;Видео-слоты;20;5;1;0;500;Неизвестно;no;no;yes;yes;yes;yes;yes
Double Triple Chance;Edict (Merkur Gaming);Видео-слоты;5;3;1;1;15;96.31%;no;no;no;no;yes;no;no
Reel Party;Rival;Видео-слоты;15;5;1;5;5000;94%;yes;no;yes;yes;yes;yes;yes
Reel of Fortune;Rival;Видео-слоты;20;5;1;10;1500;96%;yes;no;no;yes;yes;no;no
Realm of Riches;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
A Night of Mystery;High5Games;Видео-слоты;40;5;1;1;500;Неизвестно;no;no;yes;yes;yes;no;yes
Gods Of Giza Slot;Genesis Gaming;Видео-слоты;20;4;1;1;250;96.13%;no;no;yes;yes;yes;yes;yes
Diamonds are Forever;Pragmatic Play;Классические слоты;3;3;1;1;6000;Неизвестно;no;no;yes;no;yes;no;no
Prince of Sherwood;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Enchanted Garden II;Real Time Gaming;Прогрессивные слоты;25;5;0;0;Прогрессивный;Неизвестно;Неизвестно;yes;yes;yes;yes;Неизвестно;yes
Pirate Treasure;Amaya (Chartwell);Классические слоты;1;3;1;2;1600;93.5%;no;no;yes;no;no;yes;no
Football Mania;Wazdan;Видео-слоты;0;3;1;1;500;Неизвестно;yes;no;no;yes;no;no;no
Pharaoh's Temple;Felix Gaming;Видео-слоты;20;5;1;10;10;Неизвестно;yes;no;yes;yes;yes;no;Неизвестно
5 Hot Dice;EGT Interactive;Прогрессивные слоты;5;5;1;1;Прогрессивный;Неизвестно;no;yes;no;yes;yes;no;no
Supreme Hot;EGT Interactive;Видео-слоты;27;5;1;20;300;96.24%;no;no;no;no;yes;yes;no
Star Quest;Big Time Gaming;Видео-слоты;117649;6;0;0;15;96.22%;no;no;yes;no;yes;yes;yes
Karaoke Star Slot;GamesOS/CTXM;Видео-слоты;20;5;1;1;500;95%;yes;no;yes;yes;yes;no;yes
Space Lights Slot;Playson;Видео-слоты;15;5;0;0;6;Неизвестно;no;no;yes;yes;yes;yes;no
Arabian Charms;Barcrest Games;Видео-слоты;20;5;1;1;250;95%;yes;no;yes;yes;yes;yes;no
Bumper Crop;Playson;Видео-слоты;27;5;1;1;300;97.7%;no;no;yes;yes;yes;yes;yes
Flame Busters Slot;Thunderkick;Видео-слоты;243;5;1;0;10;96.1%;yes;no;yes;yes;yes;no;yes
Ramses Treasure Slot;GameArt;Видео-слоты;10;5;1;0;20;Неизвестно;no;no;yes;yes;yes;no;Неизвестно
Barkin' Mad;Barcrest Games;Видео-слоты;10;5;10;10;500;95%;yes;no;yes;yes;yes;no;yes
Neptune's Kingdom Slot;Playtech;Классические слоты;5;3;1;1;150;97%;no;no;no;no;yes;no;no
Dam Rich;Amaya (Chartwell);Видео-слоты;30;5;1;1;1000;95%;no;no;yes;yes;yes;no;yes
Crime Pays;WMS (Williams Interactive);Видео-слоты;50;5;1;1;100;97.04%;yes;no;yes;yes;yes;yes;yes
Millionaire Genie;SkillOnNet;Прогрессивные слоты;3;3;1;1;Прогрессивный;96.3%;no;yes;no;no;yes;no;no
Milk the Cash Cow;Rival;Классические слоты;1;3;1;3;10000;94%;no;no;yes;no;yes;yes;no
Lucky Stars Slots;1x2Gaming;Видео-слоты;9;4;1;5;7;Неизвестно;no;no;yes;no;yes;yes;no
Shogun Showdown;Amaya (Chartwell);Видео-слоты;50;5;1;5;250;Неизвестно;no;no;yes;yes;yes;yes;yes
Age of The Gods: Fate Sisters;Playtech;Прогрессивные слоты;25;5;1;0;Прогрессивный;Неизвестно;yes;yes;yes;yes;yes;yes;yes
3X Уайлд Cherry;IGT (WagerWorks);Прогрессивные слоты;1;3;1;3;Прогрессивный;Неизвестно;no;yes;yes;no;yes;no;no
Medal Tally;Real Time Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Summer Party Slot;Pragmatic Play;Видео-слоты;20;5;1;1;6000;Неизвестно;yes;no;yes;yes;yes;no;yes
Geisha Slot;Endorphina;Видео-слоты;25;5;1;1;1000;96%;no;no;yes;yes;yes;no;yes
Aztecs;Cozy Games;Видео-слоты;20;5;1;1;200;95.1%;no;no;yes;yes;yes;no;yes
White Rabbit Slot;Big Time Gaming;Видео-слоты;382;5;0;0;25;97.3%;no;no;yes;yes;yes;yes;yes
Major Moolah Slot;Rival;Прогрессивные слоты;1;3;1;3;Прогрессивный;96%;no;yes;no;no;yes;no;no
Magic Carpet;Cryptologic (WagerLogic);Видео-слоты;9;5;1;1;4000;94.5%;no;no;yes;yes;yes;yes;yes
Lucky Lightnin;Real Time Gaming;Классические слоты;1;3;1;3;2500;95%;no;no;no;no;no;no;no
Lucky Lady;Cryptologic (WagerLogic);Видео-слоты;9;5;1;1;1000;93.5%;yes;no;yes;yes;yes;no;no
Kaiju Slot;Elk Studios;Видео-слоты;7776;5;0;0;300;96.3%;no;no;no;yes;yes;no;yes
Realms;Saucify (BetOnSoft);Видео-слоты;10;5;1;5;300;Неизвестно;no;no;yes;yes;yes;yes;yes
Casiнет Island;WMS (Williams Interactive);Видео-слоты;9;5;1;1;600;96.9%;yes;no;yes;yes;yes;yes;no
Nacho Libre;iSoftBet;Видео-слоты;10;5;1;10;50;Неизвестно;no;no;yes;yes;yes;yes;yes
Time Warp Guardian Slot;Playson;Видео-слоты;243;5;0;0;30;Неизвестно;yes;no;yes;no;yes;no;yes
Lion's Lair Slot;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Sweet Surprise;Pragmatic Play;Видео-слоты;25;5;1;1;2500;Неизвестно;yes;no;yes;yes;yes;no;yes
Lucky Fishing;Pragmatic Play;Видео-слоты;20;5;1;1;10000;Неизвестно;yes;no;yes;yes;yes;no;no
Redbeard & Co. Slot;Pragmatic Play;Видео-слоты;20;5;1;1;8000;Неизвестно;yes;no;yes;yes;yes;no;yes
Johnny Jungle;Rival;Видео-слоты;25;5;1;10;1000;Неизвестно;no;no;yes;yes;yes;yes;yes
The Great Cashby;Genesis Gaming;Видео-слоты;25;5;1;1;2000;97.093;yes;no;yes;yes;yes;yes;no
Booming Gold;Booming Games;Видео-слоты;20;5;1;1;60;Неизвестно;no;no;yes;yes;yes;no;yes
Jackpot Jester 50000 Slot;NextGen Gaming;Видео-слоты;5;3;1;1;50000;Неизвестно;no;no;no;no;no;yes;no
Kanga Cash;Cryptologic (WagerLogic);Видео-слоты;9;5;1;1;6000;94.5%;no;no;yes;yes;yes;yes;yes
Kitty Cash Slot;1x2Gaming;Видео-слоты;9;5;1;5;750;Неизвестно;no;no;yes;yes;yes;yes;yes
Chicago Nights;Booming Games;Видео-слоты;12;5;1;1;15;Неизвестно;no;no;yes;yes;yes;no;yes
Magic Of The Ring Slot;Wazdan;Видео-слоты;10;5;1;1;5000;Неизвестно;no;no;yes;yes;no;no;yes
Monkey King Slot;Yggdrasil Gaming;Видео-слоты;0;5;0;0;250;96%;no;no;yes;yes;yes;no;yes
Mad Orchestra;Pragmatic Play;Видео-слоты;20;5;1;1;5000;Неизвестно;yes;no;yes;yes;yes;no;no
Sugar Rush Winter;Pragmatic Play;Видео-слоты;20;5;1;1;5000;93.97%;yes;no;yes;yes;yes;no;yes
Football Cup;Viaden Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;90.5%;yes;yes;yes;yes;yes;no;yes
Witch's Brew Slot;Real Time Gaming;Видео-слоты;25;5;1;1;5000;Неизвестно;Неизвестно;no;yes;yes;yes;yes;yes
Jade Idol;Cryptologic (WagerLogic);Видео-слоты;9;5;1;1;10000;94.5%;yes;no;yes;yes;yes;yes;yes
Lucky Hot;EGT Interactive;Классические слоты;5;3;1;20;750;Неизвестно;no;no;no;no;yes;yes;no
Wonder World Slot;нетvomatic;Видео-слоты;5;5;1;1;5000;94.9%;no;no;yes;yes;yes;yes;yes
Jackpot Jewels Slot;Barcrest Games;Классические слоты;50;7;1;1;12500;95%;no;no;yes;yes;yes;yes;yes
Jackpot Pinatas;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Spartans Legacy;GameArt;Видео-слоты;50;5;1;0;1000;Неизвестно;no;no;yes;yes;yes;no;yes
6 Appeal;Realistic Games;Видео-слоты;20;5;1;1;40000;Неизвестно;no;no;yes;yes;yes;yes;yes
Fortune 8 Cat;Amaya (Chartwell);Видео-слоты;1024;5;1;1;5000;Неизвестно;no;no;yes;yes;yes;yes;yes
Incan Goddess;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Super Sevens;Slotland Entertainment;Классические слоты;19;5;1;1;500;Неизвестно;no;no;no;yes;no;yes;yes
Piggy Bank;Slotland Entertainment;Классические слоты;15;5;1;1;10000;Неизвестно;no;no;no;yes;no;yes;yes
Grand Fortune;Slotland Entertainment;Прогрессивные слоты;15;5;1;1;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;yes;yes
Halloween Magic;Slotland Entertainment;Прогрессивные слоты;5;5;1;1;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;no;yes
Carnival;Slotland Entertainment;Прогрессивные слоты;19;5;1;1;Прогрессивный;Неизвестно;yes;yes;yes;yes;yes;yes;yes
Fluffy Paws;Slotland Entertainment;Видео-слоты;25;5;1;1;1500;Неизвестно;yes;no;no;yes;yes;yes;yes
Kangaroo Land;EGT Interactive;Видео-слоты;20;5;1;20;1000;96.16%;no;no;yes;yes;yes;yes;yes
Fresh Fruits Slot;Endorphina;Видео-слоты;40;5;1;100;1000;96%;no;no;yes;yes;yes;no;no
Pieces Of Eight;Saucify (BetOnSoft);Видео-слоты;25;5;1;10;10000;Неизвестно;yes;no;yes;yes;yes;no;yes
Shia Safavids Treasure;Pragmatic Play;Видео-слоты;20;5;1;1;2500;Неизвестно;yes;no;yes;yes;yes;no;yes
Voyager's Quest;Pragmatic Play;Видео-слоты;20;5;1;1;9000;Неизвестно;yes;no;yes;yes;yes;no;yes
Pampa Treasures;Leander Games;Видео-слоты;30;5;1;1;5000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Gold Rush;Rival;Классические слоты;1;3;1;3;400;95%;no;no;yes;no;yes;yes;no
Big Bang;Pragmatic Play;Классические слоты;3;3;1;3;6000;Неизвестно;no;no;yes;no;yes;no;no
Pied Piper Slot;Quickspin;Видео-слоты;40;5;0;0;160;96.32%;no;no;yes;yes;yes;no;yes
Goblin's Cave Slot;Playtech;Классические слоты;3;3;1;5;150;96%;yes;no;yes;yes;yes;no;no
Уайлд Shark;Amatic Industries;Видео-слоты;50;5;1;60;2500;Неизвестно;no;no;yes;yes;yes;no;yes
Globe Trotting;888 Gaming;Видео-слоты;9;5;1;1;12000;96%;yes;no;yes;yes;yes;no;no
Superman Slot;NextGen Gaming;Видео-слоты;50;5;1;1;10000;95.41%;no;no;yes;yes;yes;yes;yes
Magic Crystals;Pragmatic Play;Видео-слоты;243;5;1;1;1250;Неизвестно;no;no;yes;yes;yes;no;yes
Funky Monkey;Playtech;Классические слоты;1;3;1;1;2500;95.9%;no;no;no;no;yes;no;no
Уайлд Sevens;Pragmatic Play;Видео-слоты;15;5;1;1;8000;Неизвестно;yes;no;yes;yes;yes;no;yes
Hockey League;Pragmatic Play;Видео-слоты;20;5;1;1;1000;Неизвестно;yes;no;yes;yes;yes;no;no
Treasures of Pharaohs Slot;Pragmatic Play;Видео-слоты;15;5;1;1;2000;Неизвестно;yes;no;yes;yes;yes;no;yes
Deep Sea Treasure;Blueprint Gaming;Видео-слоты;20;5;1;1;12500;95.5%;yes;no;yes;yes;yes;yes;no
Fruit Party;PartyGaming;Видео-слоты;20;5;1;1;2500;95%;no;no;yes;yes;yes;no;yes
Fruit Mania;Slotland Entertainment;Прогрессивные слоты;15;5;1;1;Прогрессивный;Неизвестно;yes;yes;no;yes;yes;yes;yes
Jungle Jumpers;Booming Games;Видео-слоты;20;5;1;1;750;Неизвестно;no;no;yes;yes;yes;no;yes
Fountain of Youth;Playtech;Классические слоты;3;3;1;1;800;97%;no;no;no;no;yes;no;no
Forest of Wonders;Playtech;Видео-слоты;25;5;1;10;5000;95.5%;yes;no;yes;yes;yes;no;yes
Flower Power;888 Gaming;Видео-слоты;15;5;1;1;3000;95%;yes;no;yes;yes;yes;no;yes
Flea Market;Rival;Классические слоты;1;3;1;2;10000;95%;no;no;yes;no;yes;yes;no
Caligula;GameArt;Видео-слоты;10;5;1;0;10;Неизвестно;no;no;yes;yes;yes;no;yes
Bullion Bars;нетvomatic;Видео-слоты;20;3;1;1;10000;Неизвестно;no;no;no;yes;yes;no;no
Farmers Market;Playtech;Видео-слоты;20;5;1;10;5000;92%;yes;no;yes;yes;yes;yes;yes
African Skies;NuWorks;Прогрессивные слоты;25;5;1;1;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;yes;yes
Hot Chance;нетvomatic;Видео-слоты;5;3;2;2000;1500;95.17%;no;no;no;yes;yes;yes;yes
Pharaoh's Tomb Slot;нетvomatic;Видео-слоты;10;5;4;1000;2000;95.08%;no;no;yes;yes;yes;no;yes
Crystal Gems;2 By 2 Gaming;Видео-слоты;25;5;1;20;2000;Неизвестно;no;no;yes;yes;yes;yes;yes
Hercules Son of Zeus;Pragmatic Play;Видео-слоты;50;5;1;10;800;94%;no;no;yes;yes;yes;yes;yes
Gladiator of Rome;1x2Gaming;Видео-слоты;20;5;1;5;1000;Неизвестно;no;no;yes;yes;yes;yes;yes
Red Dragon;1x2Gaming;Видео-слоты;25;5;1;5;700;Неизвестно;yes;no;yes;yes;yes;no;yes
Beverly Hills 90210 Slot;iSoftBet;Видео-слоты;243;5;1;5;250;Неизвестно;no;no;yes;yes;yes;yes;yes
Ice Pirates Slot;Endorphina;Видео-слоты;10;5;1;100;1000;96%;no;no;yes;yes;yes;yes;yes
Jumpin' Pot Slot;GameArt;Видео-слоты;25;5;1;1;25;Неизвестно;yes;no;yes;yes;yes;yes;yes
Domnitors Slot;BGAMING;Видео-слоты;9;5;1;0;10000;Неизвестно;no;no;yes;yes;yes;no;yes
Jaguar Mist;Aristocrat;Видео-слоты;0;5;0;0;300;Неизвестно;no;no;yes;yes;yes;yes;yes
Power Force Villains;Push Gaming;Видео-слоты;25;5;1;0;Неизвестно;96.72%;no;no;yes;yes;yes;no;yes
Fucanglong;Real Time Gaming;Видео-слоты;1024;5;0;0;0;96%;no;no;yes;yes;yes;yes;yes
Diamond Valley;Playtech;Видео-слоты;20;5;1;10;10000;95.9%;no;no;yes;yes;yes;yes;yes
Diamond Mine;Real Time Gaming;Классические слоты;1;3;1;3;2500;95%;no;no;no;no;no;no;no
Magic Gate;Red Tiger Gaming;Видео-слоты;20;5;1;0;400;Неизвестно;no;no;yes;yes;yes;yes;yes
Juicy Jewels;Rival;Видео-слоты;243;5;0;0;500;Неизвестно;no;no;yes;no;yes;no;yes
Royal Dynasty;нетvomatic;Видео-слоты;9;5;1;1;20000;Неизвестно;no;no;yes;yes;yes;yes;no
Colossus Fracpot;Core Gaming;Прогрессивные слоты;20;5;1;0;Прогрессивный;88.95% - 95.11;no;yes;yes;no;yes;yes;no
Mexican Slots;GamesOS/CTXM;Классические слоты;1;3;1;3;3000;93%;no;no;no;no;no;no;no
Charming Lady Luck Slot;1x2Gaming;Видео-слоты;9;5;1;5;750;Неизвестно;no;no;yes;yes;yes;yes;yes
Puppy Payday Slot;1x2Gaming;Видео-слоты;9;5;1;5;750;Неизвестно;no;no;yes;yes;yes;yes;yes
Lady Bug Adventure;iSoftBet;Прогрессивные слоты;243;5;1;5;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;no;yes
Lucky Little Devil;Red Tiger Gaming;Видео-слоты;10;5;1;0;1380;95.7%;no;no;yes;yes;yes;no;yes
Crazy 7;Playtech;Классические слоты;1;3;1;3;400;96%;no;no;no;no;yes;no;no
Rickety Cricket Slot;Amaya (Chartwell);Видео-слоты;25;5;1;1;750;95%;no;no;yes;yes;yes;yes;yes
Castle Builder II Slot;Rabcat;Видео-слоты;15;5;1;1;50;96.74%;no;no;yes;no;yes;yes;no
Piggy Bank Slot;1x2Gaming;Видео-слоты;9;5;1;5;750;Неизвестно;no;no;yes;yes;yes;yes;yes
Cool Bananas;WGS Techнетlogy (Vegas Techнетlogy);Видео-слоты;25;5;1;1;5000;Неизвестно;no;no;yes;yes;yes;no;yes
Roboslots;1x2Gaming;Видео-слоты;15;5;1;5;2000;Неизвестно;no;no;yes;yes;yes;yes;yes
Cluedo Classic Slot;IGT (WagerWorks);Видео-слоты;20;5;1;1;10000;96%;yes;no;yes;yes;yes;yes;yes
Misfit Toyland;Rival;Видео-слоты;243;5;1;10;100;Неизвестно;no;Неизвестно;yes;yes;yes;no;yes
Ultimate Super Reels;iSoftBet;Прогрессивные слоты;5;3;1;1;Прогрессивный;Неизвестно;no;yes;no;no;yes;yes;yes
Dice and Fire Slot;Pragmatic Play;Видео-слоты;20;5;1;1;7575;Неизвестно;yes;no;yes;yes;yes;yes;yes
Chicken Little;Rival;Классические слоты;1;3;1;3;4000;95%;no;no;yes;no;yes;yes;no
Lady of the Moon;Pragmatic Play;Видео-слоты;13;5;1;1;13000;Неизвестно;no;no;yes;yes;yes;no;yes
Double Diamond;IGT (WagerWorks);Классические слоты;1;3;1;3;2500;95.08%;no;no;yes;no;no;yes;no
Aztec Magic Slot;BGAMING;Видео-слоты;15;5;1;1;5000;Неизвестно;no;no;yes;yes;yes;yes;yes
7 Monkeys;Pragmatic Play;Видео-слоты;7;5;1;1;1500;Неизвестно;no;no;yes;yes;yes;yes;no
Booster;Slotland Entertainment;Прогрессивные слоты;1;3;1;1;Прогрессивный;Неизвестно;no;yes;yes;no;no;no;no
Oh Catrina;Booming Games;Видео-слоты;15;5;1;1;150;Неизвестно;no;no;yes;yes;yes;no;yes
Celebrity in the Jungle Slot;1x2Gaming;Видео-слоты;25;5;1;5;1000;Неизвестно;no;no;yes;yes;yes;yes;yes
Birds! Slot;Betsoft;Видео-слоты;25;5;1;5;500;Неизвестно;no;no;yes;no;yes;yes;yes
Bonkers;Real Time Gaming;Классические слоты;1;3;1;3;1200;95%;no;no;no;no;no;no;no
